BY,Stock,Region,Area,S,R
1959,Nooksack,Puget Sound,South,30,197.7
1961,Nooksack,Puget Sound,South,100,630.69
1963,Nooksack,Puget Sound,South,150,33.72
1965,Nooksack,Puget Sound,South,15.25,75.46
1967,Nooksack,Puget Sound,South,20.38,45.23
1969,Nooksack,Puget Sound,South,22.82,111.51
1971,Nooksack,Puget Sound,South,64.06,163.7
1973,Nooksack,Puget Sound,South,42.35,113.34
1975,Nooksack,Puget Sound,South,37.9,56.82
1977,Nooksack,Puget Sound,South,19.47,264.55
1979,Nooksack,Puget Sound,South,48.77,109.12
1981,Nooksack,Puget Sound,South,26.81,107.98
1983,Nooksack,Puget Sound,South,66.97,48.01
1985,Nooksack,Puget Sound,South,24.91,89.42
1987,Nooksack,Puget Sound,South,32.69,300.71
1989,Nooksack,Puget Sound,South,126.01,122.62
1991,Nooksack,Puget Sound,South,21.3,98.32
1993,Nooksack,Puget Sound,South,51.68,291.34
1995,Nooksack,Puget Sound,South,207.11,62
1959,Skagit,Puget Sound,South,200,666.29
1961,Skagit,Puget Sound,South,400,4946.24
1963,Skagit,Puget Sound,South,1190,286.53
1965,Skagit,Puget Sound,South,150,253.09
1967,Skagit,Puget Sound,South,100,152.49
1969,Skagit,Puget Sound,South,100,494.19
1971,Skagit,Puget Sound,South,300.56,493.08
1973,Skagit,Puget Sound,South,251.18,200.35
1975,Skagit,Puget Sound,South,103.14,902.12
1977,Skagit,Puget Sound,South,504.92,983.26
1979,Skagit,Puget Sound,South,300.38,362.55
1981,Skagit,Puget Sound,South,100.27,541.28
1983,Skagit,Puget Sound,South,470.13,1287.76
1985,Skagit,Puget Sound,South,710.03,1059.25
1987,Skagit,Puget Sound,South,593.54,1281.52
1989,Skagit,Puget Sound,South,401.3,618.18
1991,Skagit,Puget Sound,South,351,701.79
1993,Skagit,Puget Sound,South,530,1557.37
1995,Skagit,Puget Sound,South,857,109.77
1959,Stillaguamish,Puget Sound,South,125,222.83
1961,Stillaguamish,Puget Sound,South,125,2258.77
1963,Stillaguamish,Puget Sound,South,640,326.27
1965,Stillaguamish,Puget Sound,South,185,244.63
1967,Stillaguamish,Puget Sound,South,105,114.66
1969,Stillaguamish,Puget Sound,South,75,303.73
1971,Stillaguamish,Puget Sound,South,200,63.83
1973,Stillaguamish,Puget Sound,South,35,55.99
1975,Stillaguamish,Puget Sound,South,30,69.32
1977,Stillaguamish,Puget Sound,South,38,263.07
1979,Stillaguamish,Puget Sound,South,135,42.49
1981,Stillaguamish,Puget Sound,South,18,164.25
1983,Stillaguamish,Puget Sound,South,126.1,375.19
1985,Stillaguamish,Puget Sound,South,200,175.17
1987,Stillaguamish,Puget Sound,South,119,312.05
1989,Stillaguamish,Puget Sound,South,70.4,123.8
1991,Stillaguamish,Puget Sound,South,86,116.03
1993,Stillaguamish,Puget Sound,South,110,240.93
1995,Stillaguamish,Puget Sound,South,208,92.78
1959,Snohomish,Puget Sound,South,85,89.43
1961,Snohomish,Puget Sound,South,50.17,970.71
1963,Snohomish,Puget Sound,South,275.04,326.3
1965,Snohomish,Puget Sound,South,185.02,221.36
1967,Snohomish,Puget Sound,South,95.01,107.03
1969,Snohomish,Puget Sound,South,70.01,189.83
1971,Snohomish,Puget Sound,South,125,200.61
1973,Snohomish,Puget Sound,South,110,122.6
1975,Snohomish,Puget Sound,South,65.75,229.82
1977,Snohomish,Puget Sound,South,125.99,352.09
1979,Snohomish,Puget Sound,South,180.72,185.21
1981,Snohomish,Puget Sound,South,90.1,258.27
1983,Snohomish,Puget Sound,South,198.28,552.55
1985,Snohomish,Puget Sound,South,302.19,224.34
1987,Snohomish,Puget Sound,South,152.42,297.56
1989,Snohomish,Puget Sound,South,80.15,247.11
1991,Snohomish,Puget Sound,South,174,105.48
1993,Snohomish,Puget Sound,South,100,115.26
1995,Snohomish,Puget Sound,South,101.6,108.45
1959,Puyallup,Puget Sound,South,14,35.3
1961,Puyallup,Puget Sound,South,10,114.78
1963,Puyallup,Puget Sound,South,10.22,35.63
1965,Puyallup,Puget Sound,South,25.13,40.22
1967,Puyallup,Puget Sound,South,22.04,22.86
1969,Puyallup,Puget Sound,South,16,63.04
1971,Puyallup,Puget Sound,South,40,31.49
1973,Puyallup,Puget Sound,South,12.19,35.38
1975,Puyallup,Puget Sound,South,11.8,55.19
1977,Puyallup,Washington,South,29.43,102.38
1979,Puyallup,Washington,South,29.48,34.02
1981,Puyallup,Washington,South,12.12,25.34
1983,Puyallup,Washington,South,11.6,53.77
1985,Puyallup,Washington,South,34.1,45.78
1987,Puyallup,Washington,South,34.4,108.41
1989,Puyallup,Washington,South,49.85,23.35
1991,Puyallup,Washington,South,14,12.84
1993,Puyallup,Washington,South,10.07,25.39
1995,Puyallup,Washington,South,17.6,2.89
1959,Hood Canal,Washington,South,30.5,44.39
1961,Hood Canal,Washington,South,36.8,885.31
1963,Hood Canal,Washington,South,503,217.87
1965,Hood Canal,Washington,South,160,452.32
1967,Hood Canal,Washington,South,269,57.84
1969,Hood Canal,Washington,South,42,136.44
1971,Hood Canal,Washington,South,104,67.88
1973,Hood Canal,Washington,South,46.5,17.81
1975,Hood Canal,Washington,South,12.5,77.65
1977,Hood Canal,Washington,South,44,65.93
1979,Hood Canal,Washington,South,37.1,11.06
1981,Hood Canal,Washington,South,6.45,28.55
1983,Hood Canal,Washington,South,25,91.24
1985,Hood Canal,Washington,South,63.8,72.02
1987,Hood Canal,Washington,South,62.1,105.52
1989,Hood Canal,Washington,South,60.8,150.76
1991,Hood Canal,Washington,South,118.2,36.79
1993,Hood Canal,Washington,South,35.33,35.27
1995,Hood Canal,Washington,South,31.29,8.56
1959,Dungeness,Washington,South,40,82.7
1961,Dungeness,Washington,South,70,699.59
1963,Dungeness,Washington,South,400,99.76
1965,Dungeness,Washington,South,75,219.94
1967,Dungeness,Washington,South,95,21.3
1969,Dungeness,Washington,South,14.4,65.64
1971,Dungeness,Washington,South,46,78.94
1973,Dungeness,Washington,South,47,38.07
1975,Dungeness,Washington,South,24.3,76.79
1977,Dungeness,Washington,South,35.7,173.38
1979,Dungeness,Washington,South,50.1,7.15
1981,Dungeness,Washington,South,2.9,6.76
1983,Dungeness,Washington,South,4.89,7.38
1985,Dungeness,Washington,South,4.73,4.88
1987,Dungeness,Washington,South,1.91,23.85
1989,Dungeness,Washington,South,10.9,31.32
1991,Dungeness,Washington,South,9.9,3.14
1993,Dungeness,Washington,South,1.7,11.24
1995,Dungeness,Washington,South,8.25,11.25
1957,Fraser,BC South Coast,South,2242.87,6460
1959,Fraser,BC South Coast,South,1078,1890
1961,Fraser,BC South Coast,South,1092.56,5470
1963,Fraser,BC South Coast,South,1954.04,2320
1965,Fraser,BC South Coast,South,1194.1,12968
1967,Fraser,BC South Coast,South,1831.22,4100
1969,Fraser,BC South Coast,South,1530.91,9800
1971,Fraser,BC South Coast,South,1804.95,6900
1973,Fraser,BC South Coast,South,1754.26,5000
1975,Fraser,BC South Coast,South,1367.09,8400
1977,Fraser,BC South Coast,South,2387.81,14200
1979,Fraser,BC South Coast,South,3560.65,18800
1981,Fraser,BC South Coast,South,4488.34,15300
1983,Fraser,BC South Coast,South,4631.62,18900
1985,Fraser,BC South Coast,South,6460.62,7200
1987,Fraser,BC South Coast,South,3223.52,16700
1989,Fraser,BC South Coast,South,7189.19,23000
1991,Fraser,BC South Coast,South,12059,18000
1993,Fraser,BC South Coast,South,10774.68,12800
1995,Fraser,BC South Coast,South,7291.1,8100
1954,Inner South Coast wo Fraser,BC South Coast,South,297.75,1220.63
1956,Inner South Coast wo Fraser,BC South Coast,South,300.33,1752.57
1958,Inner South Coast wo Fraser,BC South Coast,South,386,509.32
1960,Inner South Coast wo Fraser,BC South Coast,South,165.1,1232.09
1962,Inner South Coast wo Fraser,BC South Coast,South,480.9,1330.97
1964,Inner South Coast wo Fraser,BC South Coast,South,477,4218.87
1966,Inner South Coast wo Fraser,BC South Coast,South,779.93,4582.91
1968,Inner South Coast wo Fraser,BC South Coast,South,878.43,3016.74
1970,Inner South Coast wo Fraser,BC South Coast,South,675.08,1293.57
1972,Inner South Coast wo Fraser,BC South Coast,South,563.77,2468.75
1974,Inner South Coast wo Fraser,BC South Coast,South,918.39,5210.74
1976,Inner South Coast wo Fraser,BC South Coast,South,1432.7,2208.82
1978,Inner South Coast wo Fraser,BC South Coast,South,926.98,2382.83
1980,Inner South Coast wo Fraser,BC South Coast,South,1248.98,689.54
1982,Inner South Coast wo Fraser,BC South Coast,South,504.4,501.1
1984,Inner South Coast wo Fraser,BC South Coast,South,284.62,1678.15
1986,Inner South Coast wo Fraser,BC South Coast,South,1176.89,2610.39
1988,Inner South Coast wo Fraser,BC South Coast,South,1762.71,7176.67
1990,Inner South Coast wo Fraser,BC South Coast,South,3299.77,3318.26
1992,Inner South Coast wo Fraser,BC South Coast,South,2206.5,1439.66
1994,Inner South Coast wo Fraser,BC South Coast,South,1231.72,2375.34
1950,Area 10,BC Central Coast,South,35,60.05
1951,Area 10,BC Central Coast,South,3.5,30.51
1952,Area 10,BC Central Coast,South,35,15.49
1953,Area 10,BC Central Coast,South,15.03,45.4
1954,Area 10,BC Central Coast,South,6,60.27
1955,Area 10,BC Central Coast,South,22.5,19.37
1956,Area 10,BC Central Coast,South,35.03,58.28
1957,Area 10,BC Central Coast,South,7.5,23.18
1958,Area 10,BC Central Coast,South,3.5,32.5
1959,Area 10,BC Central Coast,South,15.03,46.66
1960,Area 10,BC Central Coast,South,3.5,178.06
1961,Area 10,BC Central Coast,South,7.5,11.11
1962,Area 10,BC Central Coast,South,35,62.42
1963,Area 10,BC Central Coast,South,7.5,35.07
1964,Area 10,BC Central Coast,South,1.5,45.22
1965,Area 10,BC Central Coast,South,7.5,113.66
1966,Area 10,BC Central Coast,South,7.5,99.63
1967,Area 10,BC Central Coast,South,3.5,6.04
1968,Area 10,BC Central Coast,South,15.03,72.55
1969,Area 10,BC Central Coast,South,0.4,7.32
1970,Area 10,BC Central Coast,South,15,12.94
1971,Area 10,BC Central Coast,South,4,11.42
1972,Area 10,BC Central Coast,South,2.53,32.2
1973,Area 10,BC Central Coast,South,5.03,4.06
1974,Area 10,BC Central Coast,South,9,33.06
1975,Area 10,BC Central Coast,South,1.3,38.13
1976,Area 10,BC Central Coast,South,22.1,35.49
1977,Area 10,BC Central Coast,South,20.1,36.95
1978,Area 10,BC Central Coast,South,19,3.26
1979,Area 10,BC Central Coast,South,30.25,88.26
1980,Area 10,BC Central Coast,South,2.5,12.41
1981,Area 10,BC Central Coast,South,65.04,47.85
1982,Area 10,BC Central Coast,South,9.03,3.99
1983,Area 10,BC Central Coast,South,45.27,42.42
1984,Area 10,BC Central Coast,South,3.52,34.89
1985,Area 10,BC Central Coast,South,35.6,29.09
1986,Area 10,BC Central Coast,South,26.57,38.63
1987,Area 10,BC Central Coast,South,18.23,29.33
1988,Area 10,BC Central Coast,South,18.11,45.46
1989,Area 10,BC Central Coast,South,28.11,25.06
1990,Area 10,BC Central Coast,South,41.07,51.7
1991,Area 10,BC Central Coast,South,15.13,22.13
1992,Area 10,BC Central Coast,South,2.1,11.91
1993,Area 10,BC Central Coast,South,10.08,26.66
