BY,Stock,Region,Area,S,R,,,
1968,Willapa,Washington Outer Coast,South,13.20,102.45,,,
1969,Willapa,Washington Outer Coast,South,33.90,49.56,,,
1970,Willapa,Washington Outer Coast,South,23.10,32.83,,,
1971,Willapa,Washington Outer Coast,South,37.60,28.03,,,
1972,Willapa,Washington Outer Coast,South,22.40,70.22,,,
1973,Willapa,Washington Outer Coast,South,14.50,10.96,,,
1974,Willapa,Washington Outer Coast,South,12.20,82.71,,,
1975,Willapa,Washington Outer Coast,South,12.60,5.13,,,
1976,Willapa,Washington Outer Coast,South,16.50,37.76,,,
1977,Willapa,Washington Outer Coast,South,40.20,60.29,,,
1978,Willapa,Washington Outer Coast,South,18.90,157.31,,,
1979,Willapa,Washington Outer Coast,South,6.40,40.61,,,
1980,Willapa,Washington Outer Coast,South,37.30,49.59,,,
1981,Willapa,Washington Outer Coast,South,22.10,56.76,,,
1982,Willapa,Washington Outer Coast,South,66.90,112.55,,,
1983,Willapa,Washington Outer Coast,South,20.90,41.94,,,
1984,Willapa,Washington Outer Coast,South,42.50,250.65,,,
1985,Willapa,Washington Outer Coast,South,51.30,16.46,,,
1986,Willapa,Washington Outer Coast,South,32.40,33.92,,,
1987,Willapa,Washington Outer Coast,South,31.90,45.64,,,
1988,Willapa,Washington Outer Coast,South,61.90,138.67,,,
1989,Willapa,Washington Outer Coast,South,17.10,24.16,,,
1990,Willapa,Washington Outer Coast,South,17.76,28.89,,,
1991,Willapa,Washington Outer Coast,South,33.97,24.38,,,
1992,Willapa,Washington Outer Coast,South,37.07,27.91,,,
1993,Willapa,Washington Outer Coast,South,34.64,25.97,,,
1994,Willapa,Washington Outer Coast,South,30.53,-1.00,,,
1995,Willapa,Washington Outer Coast,South,24.70,-1.00,,,
1969,Grays Harbour,Washington Outer Coast,South,11.15,46.16,,,
1970,Grays Harbour,Washington Outer Coast,South,15.70,39.29,,,
1971,Grays Harbour,Washington Outer Coast,South,10.25,16.84,,,
1972,Grays Harbour,Washington Outer Coast,South,8.00,48.67,,,
1973,Grays Harbour,Washington Outer Coast,South,12.35,7.51,,,
1977,Grays Harbour,Washington Outer Coast,South,21.00,56.90,,,
1978,Grays Harbour,Washington Outer Coast,South,11.00,100.07,,,
1980,Grays Harbour,Washington Outer Coast,South,24.70,32.67,,,
1981,Grays Harbour,Washington Outer Coast,South,18.05,56.23,,,
1982,Grays Harbour,Washington Outer Coast,South,35.10,75.03,,,
1983,Grays Harbour,Washington Outer Coast,South,21.00,19.31,,,
1984,Grays Harbour,Washington Outer Coast,South,23.70,193.49,,,
1985,Grays Harbour,Washington Outer Coast,South,31.30,10.37,,,
1986,Grays Harbour,Washington Outer Coast,South,19.55,13.89,,,
1987,Grays Harbour,Washington Outer Coast,South,9.48,34.26,,,
1988,Grays Harbour,Washington Outer Coast,South,62.18,108.44,,,
1989,Grays Harbour,Washington Outer Coast,South,9.08,25.04,,,
1990,Grays Harbour,Washington Outer Coast,South,8.97,24.95,,,
1991,Grays Harbour,Washington Outer Coast,South,17.94,9.41,,,
1992,Grays Harbour,Washington Outer Coast,South,38.30,21.44,,,
1993,Grays Harbour,Washington Outer Coast,South,21.06,18.39,,,
1994,Grays Harbour,Washington Outer Coast,South,24.59,-1.00,,,
1995,Grays Harbour,Washington Outer Coast,South,12.62,-1.00,,,
1968,Skagit,Puget Sound,South,44.05,179.28,,,
1969,Skagit,Puget Sound,South,22.39,84.70,,,
1970,Skagit,Puget Sound,South,127.59,148.37,,,
1971,Skagit,Puget Sound,South,48.83,48.32,,,
1972,Skagit,Puget Sound,South,144.73,134.85,,,
1973,Skagit,Puget Sound,South,83.50,48.14,,,
1974,Skagit,Puget Sound,South,160.25,213.87,,,
1975,Skagit,Puget Sound,South,15.76,43.01,,,
1976,Skagit,Puget Sound,South,93.00,118.05,,,
1977,Skagit,Puget Sound,South,36.00,77.46,,,
1978,Skagit,Puget Sound,South,132.90,292.93,,,
1979,Skagit,Puget Sound,South,23.51,22.06,,,
1980,Skagit,Puget Sound,South,19.43,35.41,,,
1981,Skagit,Puget Sound,South,16.94,96.02,,,
1982,Skagit,Puget Sound,South,142.54,381.36,,,
1983,Skagit,Puget Sound,South,3.93,23.59,,,
1984,Skagit,Puget Sound,South,46.82,185.67,,,
1985,Skagit,Puget Sound,South,45.19,25.22,,,
1986,Skagit,Puget Sound,South,81.87,322.08,,,
1987,Skagit,Puget Sound,South,42.85,33.93,,,
1988,Skagit,Puget Sound,South,119.79,203.80,,,
1989,Skagit,Puget Sound,South,13.90,32.75,,,
1990,Skagit,Puget Sound,South,110.57,304.23,,,
1991,Skagit,Puget Sound,South,22.00,27.20,,,
1992,Skagit,Puget Sound,South,95.94,144.38,,,
1993,Skagit,Puget Sound,South,16.67,17.07,,,
1994,Skagit,Puget Sound,South,121.78,-1.00,,,
1995,Skagit,Puget Sound,South,38.67,-1.00,,,
1968,Nooksack,Puget Sound,South,10.78,39.93,,,
1969,Nooksack,Puget Sound,South,26.79,34.17,,,
1970,Nooksack,Puget Sound,South,33.60,21.61,,,
1971,Nooksack,Puget Sound,South,9.34,11.15,,,
1972,Nooksack,Puget Sound,South,26.78,31.91,,,
1973,Nooksack,Puget Sound,South,26.01,46.86,,,
1974,Nooksack,Puget Sound,South,9.59,36.90,,,
1975,Nooksack,Puget Sound,South,6.01,29.93,,,
1976,Nooksack,Puget Sound,South,4.85,13.63,,,
1977,Nooksack,Puget Sound,South,21.26,89.03,,,
1978,Nooksack,Puget Sound,South,14.68,106.39,,,
1979,Nooksack,Puget Sound,South,27.39,51.46,,,
1980,Nooksack,Puget Sound,South,25.45,92.74,,,
1981,Nooksack,Puget Sound,South,62.36,175.68,,,
1982,Nooksack,Puget Sound,South,44.29,85.50,,,
1983,Nooksack,Puget Sound,South,20.70,68.02,,,
1984,Nooksack,Puget Sound,South,45.90,108.30,,,
1985,Nooksack,Puget Sound,South,40.35,37.12,,,
1986,Nooksack,Puget Sound,South,20.33,81.13,,,
1987,Nooksack,Puget Sound,South,15.83,44.41,,,
1988,Nooksack,Puget Sound,South,35.21,72.73,,,
1989,Nooksack,Puget Sound,South,11.67,66.44,,,
1990,Nooksack,Puget Sound,South,31.09,156.88,,,
1991,Nooksack,Puget Sound,South,31.30,61.15,,,
1992,Nooksack,Puget Sound,South,43.28,69.63,,,
1993,Nooksack,Puget Sound,South,25.31,52.14,,,
1994,Nooksack,Puget Sound,South,92.16,-1.00,,,
1995,Nooksack,Puget Sound,South,35.86,-1.00,,,
1968,Stillaguamish,Puget Sound,South,39.26,74.48,,,
1969,Stillaguamish,Puget Sound,South,27.50,30.37,,,
1970,Stillaguamish,Puget Sound,South,75.22,63.61,,,
1971,Stillaguamish,Puget Sound,South,17.79,22.78,,,
1972,Stillaguamish,Puget Sound,South,32.75,90.17,,,
1973,Stillaguamish,Puget Sound,South,16.20,39.74,,,
1974,Stillaguamish,Puget Sound,South,56.11,117.61,,,
1975,Stillaguamish,Puget Sound,South,9.77,13.15,,,
1976,Stillaguamish,Puget Sound,South,43.33,59.40,,,
1977,Stillaguamish,Puget Sound,South,28.73,65.45,,,
1978,Stillaguamish,Puget Sound,South,98.50,264.13,,,
1979,Stillaguamish,Puget Sound,South,7.88,13.20,,,
1980,Stillaguamish,Puget Sound,South,42.70,71.14,,,
1981,Stillaguamish,Puget Sound,South,21.33,215.21,,,
1982,Stillaguamish,Puget Sound,South,108.07,326.00,,,
1983,Stillaguamish,Puget Sound,South,9.01,73.18,,,
1984,Stillaguamish,Puget Sound,South,87.84,453.41,,,
1985,Stillaguamish,Puget Sound,South,125.70,60.18,,,
1986,Stillaguamish,Puget Sound,South,145.87,252.46,,,
1987,Stillaguamish,Puget Sound,South,45.71,54.35,,,
1988,Stillaguamish,Puget Sound,South,149.01,180.70,,,
1989,Stillaguamish,Puget Sound,South,15.62,58.36,,,
1990,Stillaguamish,Puget Sound,South,67.81,329.38,,,
